-------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------

***GST SAATHI REUTRN FILING PORTAL****                           Client Code : 2

   SALES DATA IMPORT VALIDITY :                                  Client Name : abc limited
   Date & Time : 30-12-2017 11:51:30 AM                          Client GSTIN : 23AAACO2349B1Z3

-------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------

Section   |Line No |Column|Error Desc With Code
b2b       |5       |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |6       |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |7       |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |8       |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |9       |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |10      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |11      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |12      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |13      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |14      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |15      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |16      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |17      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |18      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |19      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |20      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |21      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |22      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |23      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |24      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |25      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |26      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |27      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |28      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |29      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |30      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |31      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |32      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |33      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |34      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |35      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |36      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |37      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |38      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |39      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |40      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |41      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |42      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |43      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |44      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |45      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |46      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |47      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |48      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |49      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |50      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |51      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |52      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |53      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |54      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |55      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |56      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |57      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |58      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |59      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |60      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |61      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |62      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |63      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |64      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |65      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |66      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |67      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |68      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |69      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |70      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |71      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |72      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |73      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |74      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |75      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |76      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |77      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |78      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |79      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |80      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |81      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |82      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |83      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |84      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |85      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |86      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |87      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |88      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |89      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |90      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |91      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |92      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |93      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |94      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |95      |C     |Date Format Must Be "DD/MM/YYYY"
b2b       |96      |C     |Date Format Must Be "DD/MM/YYYY"

******************************************END OF THE RECORDS***************************************************
